date,exchange_rate
2018-11-20,127.49
2018-11-19,145.42
2018-11-18,175.62
2018-11-17,172.49
2018-11-16,172.74
2018-11-15,178.64
2018-11-14,178.26
2018-11-13,203.31
2018-11-12,208.74
2018-11-11,209.88
2018-11-10,210.47
2018-11-09,208.2
2018-11-08,209.99
2018-11-07,216.51
2018-11-06,218.54
2018-11-05,208.55
2018-11-04,210.1
2018-11-03,198.39
2018-11-02,199.65
2018-11-01,197.75
2018-10-31,196.95
2018-10-30,195.36
2018-10-29,194.25
2018-10-28,202.46
2018-10-27,201.44
2018-10-26,200.66
2018-10-25,199.64
2018-10-24,200.71
2018-10-23,201.14
2018-10-22,201.02
2018-10-21,202.05
2018-10-20,202.69
2018-10-19,200.69
2018-10-18,199.15
2018-10-17,203.27
2018-10-16,203.53
2018-10-15,204.26
2018-10-14,191.55
2018-10-13,197
2018-10-12,194.12
2018-10-11,188.39
2018-10-10,224
2018-10-09,226.51
2018-10-08,227.75
2018-10-07,224.92
2018-10-06,224.44
2018-10-05,226.13
2018-10-04,221
2018-10-03,219.2
2018-10-02,224.81
2018-10-01,230.24
2018-09-30,232.21
2018-09-29,231.57
2018-09-28,221.48
2018-09-27,228.71
2018-09-26,213.96
2018-09-25,219.11
2018-09-24,228
2018-09-23,244.15
2018-09-22,240.17
2018-09-21,248.02
2018-09-20,224.8
2018-09-19,209.71
2018-09-18,208.35
2018-09-17,196.5
2018-09-16,220.37
2018-09-15,222.07
2018-09-14,215.41
2018-09-13,211.54
2018-09-12,182.6
2018-09-11,184.9
2018-09-10,196.9
2018-09-09,196.29
2018-09-08,196.87
2018-09-07,215.3
2018-09-06,229.25
2018-09-05,227.86
2018-09-04,284.78
2018-09-03,288.73
2018-09-02,294.24
2018-09-01,295.19
2018-08-31,281.61
2018-08-30,284.14
2018-08-29,288.52
2018-08-28,295.24
2018-08-27,287.82
2018-08-26,274.39
2018-08-25,277.74
2018-08-24,282.08
2018-08-23,275.62
2018-08-22,270.32
2018-08-21,280.86
2018-08-20,270.76
2018-08-19,299.88
2018-08-18,294.7
2018-08-17,317.18
2018-08-16,287.22
2018-08-15,281.28
2018-08-14,278.49
2018-08-13,284.17
2018-08-12,308.09
2018-08-11,308.09
2018-08-10,328.15
2018-08-09,363.25
2018-08-08,355.4
2018-08-07,377.7
2018-08-06,404.78
2018-08-05,408.82
2018-08-04,406.18
2018-08-03,417.43
2018-08-02,410.9
2018-08-01,419.1
2018-07-31,431.63
2018-07-30,456.1
2018-07-29,466.04
2018-07-28,467.88
2018-07-27,468.8
2018-07-26,462
2018-07-25,470.8
2018-07-24,480.34
2018-07-23,449
2018-07-22,457.21
2018-07-21,461.39
2018-07-20,450.24
2018-07-19,468.83
2018-07-18,478.81
2018-07-17,499.11
2018-07-16,478.71
2018-07-15,448.77
2018-07-14,433.59
2018-07-13,431
2018-07-12,430.98
2018-07-11,445.58
2018-07-10,433.12
2018-07-09,471.04
2018-07-08,485.87
2018-07-07,486
2018-07-06,467.48
2018-07-05,467.94
2018-07-04,467.15
2018-07-03,461.96
2018-07-02,476.74
2018-07-01,452.09
2018-06-30,453.67
2018-06-29,434.86
2018-06-28,420.4
2018-06-27,441.64
2018-06-26,429.41
2018-06-25,457.94
2018-06-24,455.35
2018-06-23,474.78
2018-06-22,463.32
2018-06-21,525.33
2018-06-20,536.4
2018-06-19,539.82
2018-06-18,517.47
2018-06-17,496.58
2018-06-16,497.72
2018-06-15,487.52
2018-06-14,519.82
2018-06-13,477.4
2018-06-12,494.57
2018-06-11,531.59
2018-06-10,525
2018-06-09,592.69
2018-06-08,602.61
2018-06-07,604.83
2018-06-06,605.79
2018-06-05,607.31
2018-06-04,590.66
2018-06-03,618.49
2018-06-02,590.62
2018-06-01,578.75
2018-05-31,577.3
2018-05-30,557.11
2018-05-29,566.72
2018-05-28,511.37
2018-05-27,569.23
2018-05-26,584.8
2018-05-25,584.6
2018-05-24,602.08
2018-05-23,573.94
2018-05-22,642
2018-05-21,696.21
2018-05-20,713.5
2018-05-19,696.64
2018-05-18,691.14
2018-05-17,668.8
2018-05-16,706.95
2018-05-15,706.11
2018-05-14,728.15
2018-05-13,729.3
2018-05-12,683.5
2018-05-11,677.32
2018-05-10,722.95
2018-05-09,750.82
2018-05-08,747.29
2018-05-07,751.28
2018-05-06,785.76
2018-05-05,815.15
2018-05-04,781.28
2018-05-03,774.98
2018-05-02,685.07
2018-05-01,669.5
2018-04-30,669.58
2018-04-29,689.69
2018-04-28,682.85
2018-04-27,643.09
2018-04-26,661.08
2018-04-25,617.5
2018-04-24,703.72
2018-04-23,643
2018-04-22,621.26
2018-04-21,605.76
2018-04-20,618.13
2018-04-19,566.26
2018-04-18,525.26
2018-04-17,502.68
2018-04-16,511.49
2018-04-15,534
2018-04-14,502.21
2018-04-13,495.2
2018-04-12,494.14
2018-04-11,429.98
2018-04-10,415.01
2018-04-09,398.88
2018-04-08,400.94
2018-04-07,384.92
2018-04-06,369.08
2018-04-05,380.99
2018-04-04,378.05
2018-04-03,415.49
2018-04-02,384.94
2018-04-01,378.55
2018-03-31,393.84
2018-03-30,393.81
2018-03-29,382.42
2018-03-28,445.52
2018-03-27,449.77
2018-03-26,486.22
2018-03-25,522.57
2018-03-24,519.98
2018-03-23,543
2018-03-22,539.49
2018-03-21,560.21
2018-03-20,558.09
2018-03-19,555.1
2018-03-18,570
2018-03-17,570
2018-03-16,601.38
2018-03-15,611.24
2018-03-14,613.42
2018-03-13,690.34
2018-03-12,697.28
2018-03-11,720.2
2018-03-10,682.57
2018-03-09,727
2018-03-08,696.99
2018-03-07,749.89
2018-03-06,813.12
2018-03-05,848.03
2018-03-04,862.9
2018-03-03,854.6
2018-03-02,855.3
2018-03-01,868.75
2018-02-28,849.81
2018-02-27,870.5
2018-02-26,866.45
2018-02-25,840.87
2018-02-24,833.09
2018-02-23,856.58
2018-02-22,803.9
2018-02-21,840.01
2018-02-20,885.22
2018-02-19,939.6
2018-02-18,915.81
2018-02-17,976.98
2018-02-16,937.7
2018-02-15,927.97
2018-02-14,920.81
2018-02-13,840.58
2018-02-12,866.27
2018-02-11,812.56
2018-02-10,852
2018-02-09,879.49
2018-02-08,812.64
2018-02-07,750.91
2018-02-06,785.01
2018-02-05,692.32
2018-02-04,823.53
2018-02-03,970
2018-02-02,914.12
2018-02-01,1021.9
2018-01-31,1101.69
2018-01-30,1052.95
2018-01-29,1165
2018-01-28,1223.6
2018-01-27,1106
2018-01-26,1048
2018-01-25,1044
2018-01-24,1060
2018-01-23,986.19
2018-01-22,998
2018-01-21,1049.92
2018-01-20,1149.68
2018-01-19,1039.82
2018-01-18,1024.11
2018-01-17,1026.6
2018-01-16,1069.51
2018-01-15,1274.09
2018-01-14,1360.53
2018-01-13,1381.85
2018-01-12,1259.74
2018-01-11,1139
2018-01-10,1251.81
2018-01-09,1292.25
2018-01-08,1135.25
2018-01-07,1115.11
2018-01-06,1004.9
2018-01-05,968.33
2018-01-04,947.88
2018-01-03,940
2018-01-02,859.98
2018-01-01,750.77
2017-12-31,736.11
2017-12-30,697
2017-12-29,746.32
2017-12-28,720.23
2017-12-27,739.67
2017-12-26,754.79
2017-12-25,729.01
2017-12-24,690.92
2017-12-23,722.01
2017-12-22,672.46
2017-12-21,797.76
2017-12-20,805
2017-12-19,820.83
2017-12-18,787.1
2017-12-17,721.52
2017-12-16,696.26
2017-12-15,688.95
2017-12-14,698.18
2017-12-13,703.2
2017-12-12,671.51
2017-12-11,515.99
2017-12-10,440.16
2017-12-09,473.35
2017-12-08,453.68
2017-12-07,423.48
2017-12-06,421.27
2017-12-05,459.81
2017-12-04,467.5
2017-12-03,464
2017-12-02,457.03
2017-12-01,463.5
2017-11-30,433.84
2017-11-29,435.26
2017-11-28,468.24
2017-11-27,477.26
2017-11-26,469.8
2017-11-25,465.51
2017-11-24,470.52
2017-11-23,406.68
2017-11-22,381
2017-11-21,361
2017-11-20,368.24
2017-11-19,355
2017-11-18,347.37
2017-11-17,331.4
2017-11-16,330.01
2017-11-15,331.68
2017-11-14,335.39
2017-11-13,314.5
2017-11-12,306.47
2017-11-11,314
2017-11-10,298.01
2017-11-09,320.5
2017-11-08,307.21
2017-11-07,292.25
2017-11-06,297.54
2017-11-05,296.04
2017-11-04,302
2017-11-03,305.75
2017-11-02,285.31
2017-11-01,290.4
2017-10-31,303.49
2017-10-30,306.5
2017-10-29,303.22
2017-10-28,294.21
2017-10-27,296.66
2017-10-26,296.06
2017-10-25,296.45
2017-10-24,296.35
2017-10-23,286.25
2017-10-22,294.32
2017-10-21,300.01
2017-10-20,303.77
2017-10-19,308
2017-10-18,313.94
2017-10-17,316.21
2017-10-16,333.77
2017-10-15,336.49
2017-10-14,337.33
2017-10-13,336.64
2017-10-12,302.76
2017-10-11,302.5
2017-10-10,298.46
2017-10-09,295.98
2017-10-08,308.81
2017-10-07,311.82
2017-10-06,305.57
2017-10-05,294.28
2017-10-04,291.48
2017-10-03,291.78
2017-10-02,296.22
2017-10-01,302.9
2017-09-30,301.27
2017-09-29,293.24
2017-09-28,302.41
2017-09-27,309.88
2017-09-26,288.01
2017-09-25,293.84
2017-09-24,282.94
2017-09-23,285.53
2017-09-22,263.38
2017-09-21,258.5
2017-09-20,282.62
2017-09-19,283.01
2017-09-18,297.8
2017-09-17,260.02
2017-09-16,255.01
2017-09-15,258.48
2017-09-14,223.41
2017-09-13,275.49
2017-09-12,293.8
2017-09-11,298.36
2017-09-10,299.84
2017-09-09,302.83
2017-09-08,307.98
2017-09-07,335
2017-09-06,339.12
2017-09-05,262.88
2017-09-04,301.73
2017-09-03,352.18
2017-09-02,354.39
2017-09-01,392.13
2017-08-31,388.48
2017-08-30,384
2017-08-29,372.02
2017-08-28,348.17
2017-08-27,347.8
2017-08-26,331.33
2017-08-25,331.33
2017-08-24,324.79
2017-08-23,317.74
2017-08-22,314.03
2017-08-21,321.98
